Vehicle Type/Size, Vehicle Color, Vehicle Movement Direction, Vehicle Speed (km/h)
car,black,down,n.a.
car,black,down,11.68212890625
car,black,down,n.a.
car,black,up,-267.5363302230835
car,black,down,30.095696449279785
car,black,up,n.a.
car,black,down,2.0936460494995117
car,black,down,18.063995361328125
car,black,up,n.a.
car,black,up,-0.631260871887207
car,black,down,24.893498420715332
car,black,down,32.43086338043213
car,black,up,n.a.
car,black,down,18.000245094299316
car,black,up,n.a.
car,black,down,31.972169876098633
car,black,up,n.a.
car,black,down,11.333060264587402
car,black,up,-3.6606639623641968
car,black,down,n.a.
car,blue,down,n.a.
car,black,up,n.a.
car,black,down,59.17932987213135
car,black,down,n.a.
car,black,down,n.a.
car,black,up,-37.166762351989746
car,black,down,73.00792932510376
car,black,up,-35.11815865834554
car,black,down,14.321998755137127
