Vehicle Type/Size, Vehicle Color, Vehicle Movement Direction, Vehicle Speed (km/h)
car,white,down,n.a.
bus,white,down,n.a.
car,white,down,4.656486511230469
bus,white,down,n.a.
car,white,down,17.020912170410156
truck,white,down,n.a.
car,white,down,3.6771011352539062
car,white,down,4.482975006103516
car,white,down,58.9947509765625
car,white,down,29.620532989501953
car,white,down,5.558032989501953
car,white,down,82.81576156616211
car,white,down,45.41343688964844
bus,white,down,n.a.
car,white,down,98.16072463989258
bottle,white,down,n.a.
bus,white,down,n.a.
bus,white,down,n.a.
car,white,down,2.857799530029297
car,white,down,89.89091873168945
bus,green,down,n.a.
